GEO;GEO(L)/TIME;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
EU28;European Union (current composition);75786430;75571782;71221050;73905013;71193132;70619550;69865427;67341010;68216147;68689249
EA19;Euro area (19 countries);53439923;53414709;50426333;52162116;50156357;49694518;49288361;47528434;48248671;48481711
BE;Belgium;2385623;2480430;2371033;2549847;2385425;2287160;2373065;2241907;2271632;2405364
BG;Bulgaria;838906;834277;732855;744166;799486;763384;701559;742926;775021;758984
CZ;Czech Republic;1946991;1909118;1796045;1902005;1833224;1821390;1822045;1768599;1772135;1750383
DK;Denmark;859461;826189;791726;839207;778869;752440;747194;705898;705607;729406
DE;Germany (until 1990 former territory of the FRG);13975402;14117624;13250576;13920543;13222478;13309279;13587555;13114721;13145333;13283390
EE;Estonia;257309;248855;224138;257493;258813;256076;280629;270918;263644;260357
IE;Ireland;664859;659669;624018;635537;580590;576085;574858;567588;594229;621559
EL;Greece;1319578;1332927;1275612;1202380;1163235;1153716;1014977;1020339;1023651;1010795
ES;Spain;6124630;5935999;5464882;5453446;5379883;5362851;4996080;4885182;5083511;5115263
FR;France;11287455;11346443;10852010;11186368;10815288;10824885;10857160;10417630;10596098;10414477
HR;Croatia;424250;412702;398856;394682;389431;371121;359478;343005;356863;359418
IT;Italy;7874808;7801562;7273790;7449381;7221298;6937281;6678572;6323203;6538466;6478990
CY;Cyprus;115260;121301;117959;114700;112629;105369;91615;93330;95140;102261
LV;Latvia;204571;196543;188799;193822;183230;189979;186975;186396;183368;183574
LT;Lithuania;389493;388473;354780;284178;293428;297069;279988;280291;289443;294500
LU;Luxembourg;193894;193915;182724;194304;191188;186820;181542;176794;174998;175718
HU;Hungary;1144781;1131705;1081879;1113651;1090523;1035923;1002425;997087;1054404;1076212
MT;Malta;40179;40873;37447;39336;39257;41114;36705;37127;31682;30400
NL;Netherlands;3482972;3470743;3398468;3627550;3392427;3397204;3364776;3209206;3239242;3287824
AT;Austria;1411744;1418168;1339041;1428351;1393030;1392254;1418166;1366581;1398271;1417877
PL;Poland;4052899;4098588;3956133;4215256;4221079;4085514;4102463;3949251;4003670;4183851
PT;Portugal;1095905;1064044;1049542;1016655;989181;931525;937032;924673;963943;974027
RO;Romania;1690075;1683866;1488606;1498857;1530629;1481007;1357682;1346375;1357775;1356606
SI;Slovenia;307152;324735;299397;307178;307079;294855;287424;278556;274998;284573
SK;Slovakia;747543;766084;702132;747550;728173;698878;711599;677450;687714;691281
FI;Finland;1561546;1506322;1419987;1553496;1499724;1452119;1429643;1456543;1393308;1449481
SE;Sweden;2070864;2063649;1903649;2126391;2080836;2083381;2058267;2018503;1907530;2061212
UK;United Kingdom;9318280;9196978;8644970;8908683;8312699;8530870;8425953;7940930;8034471;7931465
IS;Iceland;205614;236728;244177;232167;248625;243093;253587;253613;243392;233416
NO;Norway;1171388;1364179;1325876;1251313;1126687;1175862;1223974;1216695;1217584;1164368
ME;Montenegro;47578;51331;40291;47239;47472;44802;41649;40802;43106;41356
MK;Former Yugoslav Republic of Macedonia, the;126495;124073;115550;118264;129462;124755;116509;113351;111564;112386
AL;Albania;84382;87750;89979;89684;93315;87976;98935;98177;92051;94930
RS;Serbia;691239;699179;636929;652801;678119;609023;625366;556572;616948;640881
TR;Turkey;4254324;4183857;4189541;4435116;4727181;4996619;4841427;5087843;5512717;5852906
BA;Bosnia and Herzegovina;0;0;0;0;0;0;0;250072;258133;281986
XK;Kosovo (under United Nations Security Council Resolution 1244/99);85800;92919;102931;105360;106415;99819;96866;92841;105703;113201
MD;Moldova;0;0;0;95592;99436;97535;100656;99190;97237;101366
UA;Ukraine;5813901;5653330;4790709;5551462;5291553;5125284;4817798;4395719;3719825;3823078
GE;Georgia;:;:;:;:;:;:;:;:;:;205153
