GEO;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
BE;41089;41944;42817;43438;41700;42642;43556;41798;42133;42275;
BG;16583;17792;17987;18886;19632;19276;18744;18662;19028;19634;
CZ;30769;31554;31040;30801;29551;29893;30339;29527;30223;31210;
DK;23226;23181;22652;23140;22614;22253;22361;22176;22110;22310;
DE;277774;281471;283605;295775;283590;287511;286947;272468;278572;279040;
EE;4326;4589;4619;4724;4501;4712;4601;4739;4746;5099;
IE;17334;18643;16625;16270;15342;14957;14872;14701;15185;15382;
EL;39611;40922;40414;38795;36970;40255;37158;36288;37731;41849;
ES;150728;157784;159997;168090;165543;163327;154707;151081;149921;149227;
FR;283388;293672;296154;316608;292716;311777;320604;296192;307234;314617;
HR;11333;12069;11852;12117;12125;12062;11686;11311;11669;11623;
IT;152744;156832;158874;160779;162959;165660;161642;158117;163962;161608;
CY;3783;3999;4160;4303;4192;3924;3459;3502;3632;3913;
LV;4650;4805;4476;4499;4397;4726;4644;4798;4652;4710;
LT;5708;6167;5864;5602;5738;5938;5895;6055;5962;6261;
LU;3000;2883;2903;2848;2779;2901;3019;2982;3038;2810;
HU;23051;23228;23388;23317;23545;19219;18806;18885;19717;19978;
MT;1321;1295;1198;1427;1463;1543;1546;1599;1699;1703;
NL;63983;64918;66502;66784;67014;67063;67649;66625;67113;68017;
AT;29980;30720;30019;30851;30528;31097;31726;32044;32674;33030;
PL;65064;69833;69696;73900;74043;74255;73111;74755;75230;78342;
PT;30535;30233;31199;31945;31003;29908;28963;29498;30023;30885;
RO;16674;17387;18041;19581;20207;20753;20679;20988;21423;21392;
SI;5601;6299;6171;6285;6472;6347;6447;6266;6437;6625;
SK;11801;11653;11827;12670;13035;11469;12732;11346;12164;12295;
FI;38595;38622;40205;42400;40137;41817;40516;40248;39870;41605;
SE;70170;68613;69517;74427;68186;70524;70252;68846;71983;74543;
UK;224895;223728;217970;220232;211252;215336;214939;205276;206026;207318;
IS;2080;2185;2157;2209;2142;2155;2143;2144;2322;2402;
LI;:;:;:;:;:;:;:;:;:;:;
NO;60353;60681;65338;68092;62908;66202;67019;63482;65244;66919;
CH;:;:;:;:;:;:;:;:;:;:;
ME;1156;1214;1305;1336;1239;1350;1360;1832;1892;1990;
MK;4268;4454;4803;4754;4855;4782;4523;4489;4642;4588;
AL;3015;3816;4547;4634;4605;4568;5505;5057;4652;4227;
RS;19514;19928;19536;20058;19989;19744;19346;18666;19299;19249;
TR;80406;86138;85868;92128;97462;101822;103958;108682;112716;121751;
BA;0;0;0;0;0;0;0;6597;6585;6936;
XK;2673;2934;2821;2951;3299;3217;3390;3363;3254;2823;
MD;0;0;0;2452;2517;2571;2714;2696;2864;2809;
UA;54255;57203;54305;59253;67023;65288;70257;65914;62219;60703;
GE;:;:;:;:;:;:;:;:;:;7285;
